name,lat,lon,timezone
TLPR,6.11029,116.205938,Singapore Standard Time
TBSE,6.067128,116.155156,Singapore Standard Time
BESQ,1.44568,110.4201,Singapore Standard Time
KLSR,1.448055,110.452861,Singapore Standard Time
KNEL,6.010967,116.113422,Singapore Standard Time
INAM,5.994063,116.13627,Singapore Standard Time
SMPT,4.48166,118.6074,Singapore Standard Time
HGAU,5.36888,116.1828,Singapore Standard Time
RCGG,4.32151,118.0821,Singapore Standard Time
FENG,1.467639,110.42716,Singapore Standard Time
ACPL,5.977803,116.075944,Singapore Standard Time
ADKA,5.342895,116.150565,Singapore Standard Time
AGAP,5.976962,116.086581,Singapore Standard Time
AIRG,1.503393,110.352195,Singapore Standard Time
AMIN,1.5679,110.3254,Singapore Standard Time
ANAS,1.549314,110.323269,Singapore Standard Time
ANGL,5.975311,116.073218,Singapore Standard Time
ANIS,1.188798,110.564772,Singapore Standard Time
ANKA,5.34948,116.15478,Singapore Standard Time
ANTU,1.539622,110.351517,Singapore Standard Time
AONG,1.54312,110.31593,Singapore Standard Time
APOK,1.518989,110.32479,Singapore Standard Time
APON,1.542568,110.383321,Singapore Standard Time
ARAG,1.5077,110.3199,Singapore Standard Time
ARKB,5.95325,116.077974,Singapore Standard Time
ASTA,1.570892,110.338068,Singapore Standard Time
ATAU,1.38269,110.37287,Singapore Standard Time
AVAN,5.972707,116.116968,Singapore Standard Time
AWAH,1.572333,110.375833,Singapore Standard Time
AZAR,1.55555,110.355,Singapore Standard Time
BAIG,5.91559,116.112984,Singapore Standard Time
BAUB,1.503871,110.388237,Singapore Standard Time
BAUD,1.513961,110.378751,Singapore Standard Time
BAUJ,1.526721,110.377351,Singapore Standard Time
BDLB,5.279928,115.245617,Singapore Standard Time
BEDA,5.303766,115.20668,Singapore Standard Time
BEVH,5.941578,116.102672,Singapore Standard Time
BIAT,4.77087,115.018,Singapore Standard Time
BIND,1.540769,110.392208,Singapore Standard Time
BIRD,1.511826,110.331536,Singapore Standard Time
BKKL,5.326382,115.21127,Singapore Standard Time
BNGT,5.314071,115.2245,Singapore Standard Time
BOHG,1.33148,110.29979,Singapore Standard Time
BORC,5.95789,116.08668,Singapore Standard Time
BORD,5.9609,116.11461,Singapore Standard Time
BORM,1.531025,110.337584,Singapore Standard Time
BRAI,6.374728,116.411763,Singapore Standard Time
BREZ,5.946428,116.077963,Singapore Standard Time
BTAL,1.716713,110.351476,Singapore Standard Time
BTMN,5.339924,115.223878,Singapore Standard Time
BUBL,4.46655,118.60198,Singapore Standard Time
BUTA,5.934999,116.066756,Singapore Standard Time
BUTG,5.953408,116.067552,Singapore Standard Time
BVDH,5.93084,116.10667,Singapore Standard Time
BYNG,5.392104,116.203004,Singapore Standard Time
CARK,1.522087,110.339841,Singapore Standard Time
CASU,5.94937,116.04791,Singapore Standard Time
CERY,5.939512,116.095984,Singapore Standard Time
CIDB,1.616382,110.344222,Singapore Standard Time
CINN,1.5474,110.3512,Singapore Standard Time
CKUC,1.500853,110.339744,Singapore Standard Time
CLAK,1.545325,110.355431,Singapore Standard Time
CMSB,5.961726,116.09431,Singapore Standard Time
COHG,5.942938,116.11974,Singapore Standard Time
CPEN,1.570329,110.394696,Singapore Standard Time
CPSB,5.978002,116.07152,Singapore Standard Time
CYBE,5.914146,116.06826,Singapore Standard Time
DABU,1.7074,110.3578,Singapore Standard Time
DANS,5.416797,116.180719,Singapore Standard Time
DECC,1.452113,110.4524,Singapore Standard Time
DEIL,1.453527,110.457666,Singapore Standard Time
DEIP,1.59646,110.40605,Singapore Standard Time
DEMB,1.579041,110.38411,Singapore Standard Time
DIKA,5.35107,116.14883,Singapore Standard Time
DIMA,5.913898,116.08498,Singapore Standard Time
DIXO,5.98291,116.10087,Singapore Standard Time
DMBC,1.746367,110.310998,Singapore Standard Time
DMPL,5.962657,116.089002,Singapore Standard Time
DMSC,5.982204,116.116602,Singapore Standard Time
DTMU,1.462246,110.482891,Singapore Standard Time
DWIR,1.505996,110.306803,Singapore Standard Time
ELAT,1.5667,110.3312,Singapore Standard Time
ELIS,1.548452,110.356684,Singapore Standard Time
ELIZ,5.96003,116.07341,Singapore Standard Time
EMAR,1.562861,110.316176,Singapore Standard Time
EMPI,1.431177,110.507937,Singapore Standard Time
ENIN,5.320056,116.173725,Singapore Standard Time
